text,FE.ADEME.ID,FE.VAL,FE.Incertitude
service metal precieux la reponse est correcte elle transmet l idee que le service est un type d offre ou de fourniture qui sert a des objectifs specifiques comme le metal precieux,25020,1700.0,0.8
services creatifs artistiques culturels bibliotheques jeux de hasard la reponse est plus courte et claire que l original elle conserve le sens des termes originaux tout en simplifiant le langage,25030,210.0,0.8
service d action sociale le service d action sociale est un type de service qui offre des services sociaux pour aider les personnes a gerer leurs besoins et problemes sociaux il peut inclure des services comme l aide aux,25029,100.0,0.8
services bancaires conseils et honoraires la reponse est correcte elle conserve le sens original du nom de service mentionne dans l original pourriez vous fournir plus d informations sur les differents services propos,24997,110.0,0.8
service bois et article en bois reponse service bois et article en bois la phrase est deja claire et concise sans ambiguite la description ne change pas le sens ou l orthographe elle indique simplement,25015,500.0,0.8
service construction est un terme utilise pour designer une serie d activites ou de services qui impliquent le developpement et l amelioration du site web les sites d applications mobiles les sites d e commerce etc,25009,360.0,0.8
service courrier est un service qui transmet des documents par courrier electronique il peut inclure des informations comme des factures des documents d assurance des documents de paiement etc les clients peuvent egalement,24998,130.0,0.8
un service d enseignement,25026,120.0,0.8
le service entreposage et les services auxiliaires sont deux aspects essentiels du transport ils permettent d optimiser le processus de transport augmentant ainsi l efficacite et la securite les services auxilia,25008,170.0,0.8
service pour le streaming de films enregistres sur tv et radio reponse service pour le streaming de films enregistres sur tv et radio est une reponse correcte a cette description elle concerne un service qui permet,25003,310.0,0.8
service edition livres journaux revues la reponse est claire et concise elle conserve le sens original de l expression tout en reduisant son longueur explication service edition indique que,25002,280.0,0.8
service papier et carton est un service qui inclut le fourniture de papier et de cartons c est generalement un service d achat ou de livraison de produits de base mais peut egalement inclure des,25014,900.0,0.8
service pour les produits plastiques et caoutchoucs la reponse est correcte elle conserve le sens original du nom service tout en ajoutant des details specifiques sur les produits plastiques et caoutch,25013,800.0,0.8
services agricoles et maraicheraient la reponse est correcte elle transmet l idee que les services proposes sont lies a des produits agricoles et de la mer explication services,25010,2300.0,0.8
service pour les produits chimiques la reponse est correcte elle conserve le sens original de la phrase originale tout en simplifiant significativement l expression la traduction en anglais serait chemical products service,25018,1600.0,0.8
services informatiques electroniques et optiques la reponse est correcte elle conserve le sens original de la phrase originale tout en simplifiant significativement l expression la phrase services informatiques electroniques et opt,25023,400.0,0.8
services pharmaceutiques la reponse est correcte elle conserve le sens original de produits pharmaceutiques tout en simplifiant la formulation la phrase courte et claire que vous demandez est services pharmaceutiques,25019,500.0,0.8
activites d organisation pour les associations professionnelles reponse activites d organisation pour les associations professionnelles la reponse est correcte elle conserve le sens original du nom services tout en maintenant l idee,25032,220.0,0.8
activites de sante humaines la reponse est correcte elle conserve le sens original du nom de produit tout en simplifiant significativement l expression explication service activites signifie que le service contient,25028,120.0,0.8
activites sportives recreatives et de loisirs est une description de service elle comprend des activites sportives recreativas et de loisirs qui peuvent etre offertes par differents services cela peut inclure des cours,25031,270.0,0.8
service administration publique et defense de la securite sociale est obligatoire reponse correcte service administration publique et defense de la securite sociale est obligatoire explication la phrase originale contient plusieurs mots,25025,160.0,0.8
le service d hebergement et de restauration est disponible pour les clients qui souhaitent vivre dans un logement securise et confortable reponse en francais le service d hebergement et de restauration est,25000,320.0,0.8
services informatiques ou machine a ecrire ou outils d edition numerique ou programmes d apprentissage ou accessoires pour le bureau ou kits de maintenance ou kits de,25022,700.0,0.8
transportation materiel la description service materiel de transport se traduit generalement par transportation materiel ou materiel de transport c est un service qui implique le transport de materiels ou des equip,25024,700.0,0.8
services meubles et autres biens manufactures la reponse est correcte elle conserve le sens original de la phrase tout en simplifiant significativement l expression la traduction en anglais serait services meub,25017,600.0,0.8
le service agroalimentaire transforme les produits agr,25011,1000.0,0.8
produits metalliques a forte valeur ajoutee la reponse est correcte elle conserve le sens original du nom de produit tout en maintenant un ton plus formel et precis elle souligne l importance de ce type de produits,25021,600.0,0.8
service de recherche et developpement est un service qui aide les entreprises a trouver des solutions innovantes pour leurs problemes techniques c est un service essentiel pour l innovation et le developpement durable il permet aux entreprises d investir dans,25027,250.0,0.8
service pour les reparations et l installation de machines et d equipements reponses correctes service pour le service de reparation et l installation de machines et d equipements,25004,390.0,0.8
service telecommunications est une expression couramment utilisee dans le domaine des services publics ou prives elle comprend diverses activites telles que l assistance a la communication les services de television les services de radio,24999,170.0,0.8
transport aerien est un service qui permet aux voyageurs d obtenir des services de transport a bord d un avion il comprend le transport de personnes et les biens ainsi que l expedition de produits,25007,1190.0,0.8
service textile et harnais est un service qui comprend le fabrication l entretien et le maintenance des textiles et des harnais il s agit d un service de haute qualite pour les entreprises et les particuliers qui souhait,25016,600.0,0.8
transport fluvial et maritime est un service qui couvre le transport de marchandises par voie navigable ou maritale cela comprend les transports aeriens terrestres et maritimes il s,25006,590.0,0.8
transportation aerienne ou transportation maritime ou transportation terrestre sont les alternatives correctes la reponse donnee est celle qui correspond le mieux a la description donnee service transport terrestre,25005,560.0,0.8
services imprimantes publicitaires architectures et ingenieries maintenance techniques des batiments la reponse est plus courte et claire que l original elle conserve le sens du produit tout en reduisant son long,25001,170.0,0.8
salade cesar au poulet saute avec des legumes verts,34052,2.81,1.0
la brioche fourie avec du creme patissier chinois prepare par soi,33558,3.83,1.0
le gateau fourre avec un parfum chocolat est delicieux explication la phrase a ete traduite,32682,7.55,1.0
un gateau fourre,32683,3.4,1.0
le gateau fourre de salade de chou avec un parfum de lait ou vanille est delicieux reponse un gateau fourre de salade de chou avec un parfum de,32681,7.55,1.0
haricot mungo est un haricot qui peut etre utilise pour le melangeur il peut egalement etre cultive pour l orgeuse il n est pas necessaire d utiliser des pesticides car il ne contient que du m,33358,1.9,1.0
haricot mungo est un haricot qui a ete transforme en germe ou en pousse de soja cru reponse optimale haricot mungo est un haricot transforme en germe ou en pousse,33308,0.756,1.0
octafluorocyclopentane est un fluorene la reponse est correcte car octafluorocyc,43018,258.0,0.3
chlorofluorocarbons sont des gaz toxiques qui polluent l atmosphere terrestre ils sont utilises dans diverses applications notamment pour les produits chimiques mais ils sont egalement consideres comme un,43019,0.004,0.3
e hexol est un composant chimique utilise dans divers produits industriels il est egalement utilise comme base pour le fabrication de nombreux aliments et produits alimentaires l e hexol est generalement utilise dans les produits,43020,0.002,0.3
zhex in ol est un produit chimique il s agit d un alcool qui peut etre utilise pour l alcoolisant cependant il doit etre utilise avec prudence car il peut avoir des effets second,43021,0.003,0.3
achat sur le web est une expression couramment utilisee pour indiquer que l utilisateur a achete quelque chose via un site web elle signifie generalement que l utilisateur a effectue un paiement par ligne ou par carte,20620,0.00755,1.0
mail est un mot anglais qui signifie chiffre ou numero il est utilise dans le contexte des communications electroniques pour communiquer des informations par exemple on peut dire i want to send you,20615,0.004,1.0
le mail contient un paquet joint reponse le mail contient un paquet joint la reponse est correcte la phrase le mail contient un paquet joint est clairement exprimee en,20616,0.035,1.0
la requete de navigation web est un processus d interferences entre les serveurs web pour obtenir des informations sur le site web elle peut etre utilisee pour rechercher des informations specifiques ou generales sur un,20618,0.00101,1.0
la requete internet est un processus informatique qui permet aux utilisateurs d acceder a des informations sur le web elle peut etre utilisee pour rechercher des sites web specifiques ou pour partager des informations entre les utilisateurs,20619,0.00665,1.0
spam est un mot anglais qui signifie chien ou animal il n est pas une forme grammaticale ou un nom cependant il peut etre utilise comme un terme de reference dans certaines contextes,20617,3e-05,1.0
transaction logiciel classique est un terme couramment utilise dans le domaine des transactions financieres c est un type de transaction qui se fait generalement par ordinateur ou autre appareil informatique ou les donnees sont stockees,20625,0.00135,1.0
tweet est un service de communication instantanee qui permet aux utilisateurs de partager des messages sur twitter il offre egalement des fonctionnalites comme l ajout d un profil le suivi de conversations les notifications et la possibilite,20621,2e-05,1.0
heptahidron tetrahydroxypropane heptahidron tetrahydroxypropane reponse correcte heptahidron tetrahydroxypropane le heptah,43022,6630.0,0.3
nonafluoro trifluoromethyl pentane est un compose chimique il est utilise dans diverses applications industrielles notamment pour le traitement des residus chimiques il peut egalement etre utilise comme base pour les,43023,0.11,0.3
hexafluoropropanol hexafluoropropanol est un produit chimique il est compose principalement d un element flou solide appele hexafluoruroxyde cette substance peut etre,43024,206.0,0.3
trifluorobutanone est un nom generique pour le trifluoroacetic acid c est un acid amine qui se trouve dans les plantes et les animaux il est utilise comme base pour la fabrication de,43025,0.1,0.3
trifluoropropan one est un produit chimique il est utilise dans diverses applications industriales notamment pour le traitement des residus mineraux l industrie automobile les produits de soins du,43026,0.09,0.3
